Date,Winner,Loser,WCharacter,LCharacter
2/23,JoRo,SquidSlash,Onion,Beef
2/23,JoRo,SquidSlash,Onion,Beef
2/23,witunfunnymat,DoomMerky,Garlic,Pork
2/23,DoomMerky,witunfunnymat,Pork,Garlic
2/23,witunfunnymat,DoomMerky,Garlic,Pork
2/23,DoomMerky,witunfunnymat,Pork,Garlic
2/23,witunfunnymat,DoomMerky,Garlic,Pork
2/23,DoomMerky,KevinKryptonite,Pork,Noodle
2/23,KevinKryptonite,DoomMerky,Noodle,Pork
2/23,KevinKryptonite,DoomMerky,Noodle,Pork
2/23,DoomMerky,KevinKryptonite,Pork,Pork
2/23,DoomMerky,KevinKryptonite,Pork,Pork
2/23,JoRo,Humongous Giraffe,Garlic,Pork
2/23,JoRo,Humongous Giraffe,Garlic,Pork
2/23,JoRo,Humongous Giraffe,Garlic,Beef
2/23,Hitaka,Savory Buns,Rice,Beef
2/23,Hitaka,Savory Buns,Rice,Beef
2/23,Hitaka,Savory Buns,Rice,Garlic
2/23,Hitaka,SquidSlash,Rice,Beef
2/23,Hitaka,SquidSlash,Rice,Beef
2/23,Hitaka,SquidSlash,Rice,Beef
2/23,Savory Buns,witunfunnymat,Noodle,Garlic
2/23,Savory Buns,witunfunnymat,Noodle,Garlic
2/23,Savory Buns,witunfunnymat,Noodle,Garlic
2/23,witunfunnymat,Humongous Giraffe,Garlic,Beef
2/23,witunfunnymat,Humongous Giraffe,Garlic,Beef
2/23,Savory Buns,JoRo,Onion,Onion
2/23,Savory Buns,JoRo,Onion,Onion
2/23,Savory Buns,DoomMerky,Garlic,Pork
2/23,Savory Buns,DoomMerky,Garlic,Pork
2/16,fredruary,Inochi,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,Inochi,Noodle,Noodle
2/16,fredruary,KevinKryptonite,Noodle,Rice
2/16,fredruary,KevinKryptonite,Noodle,Onion
2/16,fredruary,KevinKryptonite,Noodle,Pork
2/16,KevinKryptonite,TrunksESP,Onion,Beef
2/16,KevinKryptonite,TrunksESP,Onion,Beef
2/16,TrunksESP,KevinKryptonite,Beef,Beef
2/16,KevinKryptonite,TrunksESP,Beef,Beef
2/16,TrunksESP,KevinKryptonite,Beef,Garlic
2/16,Inochi,fredruary,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,Inochi,fredruary,Noodle,Noodle
2/16,Inochi,Hitaka,Noodle,Pork
2/16,Inochi,Hitaka,Noodle,Onion
2/16,KevinKryptonite,Juni,Onion,Onion
2/16,Juni,KevinKryptonite,Onion,Onion
2/16,KevinKryptonite,Juni,Onion,Onion
2/16,KevinKryptonite,Juni,Onion,Onion
2/16,Juni,KevinKryptonite,Onion,Garlic
2/16,fredruary,KevinKryptonite,Noodle,Noodle
2/16,fredruary,KevinKryptonite,Noodle,Onion
2/16,fredruary,KevinKryptonite,Noodle,Garlic
2/16,Juni,shygybeats,Onion,Pork
2/16,shygybeats,Juni,Pork,Onion
2/16,Juni,shygybeats,Onion,Pork
2/16,shygybeats,Venom578,Pork,Onion
2/16,shygybeats,Venom578,Pork,Onion
2/16,Hitaka,shygybeats,Onion,Pork
2/16,Hitaka,shygybeats,Onion,Pork
2/16,JoRo,KevinKryptonite,Garlic,Garlic
2/16,JoRo,KevinKryptonite,Garlic,Garlic
2/16,KevinKryptonite,JoRo,Garlic,Garlic
2/16,KevinKryptonite,TrunksESP,Garlic,Pork
2/16,Inochi,Juni,Noodle,Onion
2/16,Inochi,Juni,Noodle,Onion
2/16,shygybeats,lil_seg,Pork,Onion
2/16,shygybeats,lil_seg,Pork,Onion
2/9,TableLOL,fredruary,Rice,Rice
2/9,TableLOL,fredruary,Rice,Rice
2/9,TableLOL,fredruary,Rice,Rice
2/9,fredruary,KevinKryptonite,Rice,Garlic
2/9,fredruary,KevinKryptonite,Rice,Garlic
2/9,fredruary,KevinKryptonite,Rice,Garlic
2/9,KevinKryptonite,fredruary,Garlic,Rice
2/9,KevinKryptonite,fredruary,Garlic,Rice
2/9,TableLOL,KevinKryptonite,Rice,Garlic
2/9,TableLOL,KevinKryptonite,Rice,Garlic
2/9,TableLOL,KevinKryptonite,Rice,Garlic
2/9,fredruary,Inochi,Rice,Onion
2/9,Inochi,fredruary,Onion,Rice
2/9,fredruary,Inochi,Rice,Noodle
2/9,fredruary,Inochi,Rice,Noodle
2/9,Inochi,Juni,Noodle,Onion
2/9,Inochi,Juni,Noodle,Onion
2/9,Inochi,Juni,Noodle,Onion
2/9,KevinKryptonite,Hitaka,Garlic,Rice
2/9,Hitaka,KevinKryptonite,Rice,Garlic
2/9,KevinKryptonite,Hitaka,Garlic,Rice
2/9,Hitaka,KevinKryptonite,Rice,Garlic
2/9,TableLOL,Inochi,Rice,Noodle
2/9,TableLOL,Inochi,Rice,Noodle
2/9,TableLOL,Inochi,Rice,Noodle
2/9,KevinKryptonite,Friggis,Garlic,Onion
2/9,KevinKryptonite,Friggis,Garlic,Onion
2/9,Inochi,E_Sid,Noodle,Beef
2/9,Inochi,E_Sid,Noodle,Onion
2/9,DoomMerky,Flameburst97,Pork,Beef
2/9,DoomMerky,Flameburst97,Pork,Beef
2/2,fredruary,Hitaka,Rice,Rice
2/2,Hitaka,fredruary,Rice,Rice
2/2,fredruary,Hitaka,Rice,Rice
2/2,fredruary,Hitaka,Rice,Rice
2/2,Hitaka,DoomMerky,Rice,Pork
2/2,Hitaka,DoomMerky,Rice,Pork
2/2,Hitaka,DoomMerky,Rice,Pork
2/2,Hitaka,KevinKryptonite,Rice,Beef
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,fredruary,DoomMerky,Rice,Pork
2/2,fredruary,DoomMerky,Rice,Pork
2/2,fredruary,DoomMerky,Rice,Pork
2/2,TrunksESP,KevinKryptonite,Garlic,Garlic
2/2,TrunksESP,KevinKryptonite,Garlic,Onion
2/2,KevinKryptonite,TrunksESP,Onion,Onion
2/2,TrunksESP,KevinKryptonite,Onion,Garlic
2/2,KevinKryptonite,TrunksESP,Garlic,Pork
2/2,shygybeats,DoomMerky,Pork,Pork
2/2,shygybeats,DoomMerky,Pork,Pork
2/2,shygybeats,DoomMerky,Pork,Pork
2/2,KevinKryptonite,mpaulweeks,Garlic,Noodle
2/2,KevinKryptonite,mpaulweeks,Garlic,Noodle
2/2,fredruary,TrunksESP,Rice,Garlic
2/2,fredruary,TrunksESP,Rice,Pork
2/2,fredruary,TrunksESP,Rice,Pork
2/2,TrunksESP,fredruary,Pork,Rice
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,KevinKryptonite,Hitaka,Garlic,Rice
2/2,Hitaka,KevinKryptonite,Rice,Garlic
2/2,mpaulweeks,Mr Kh8n,Pork,Pork
2/2,Mr Kh8n,mpaulweeks,Pork,Pork
2/2,mpaulweeks,Mr Kh8n,Pork,Pork
2/2,DoomMerky,mpaulweeks,Pork,Garlic
2/2,mpaulweeks,DoomMerky,Garlic,Pork
2/2,DoomMerky,mpaulweeks,Pork,Garlic
2/2,DoomMerky,CptnPlant,Pork,Garlic
